Qty,Description,Mfg Name,Mfg part,Vendor,Vendor Part Num,Cost,Designator,,
1,"Switch, single rotary, solder terminals, 1/2"" dia., 1pole",Grayhill,56D30-01-1-AJN,NW,14M6789,9.37,SW1,,
1,"Control knob, 0.25"" dia., nylon, black",Grayhill,11K5028-KMNB,NW,033C3484,6.27,SW1-KNOB,,
1,"Rectangular connector, plug, wire-mount, 14 position, 0.1"" pitch, panel-mount",3M,4614-6000,NW,87F3991,5.6,X1,,
1,"M12 connector, 5 positions, male pins, panel-mount, solder cup terminals",TE Connectivity,1838893-3,NW,54M1918,8.28,X2,,
1,"Micro-Fit housing, 6 positions, dual row",Molex,43025-0600,Nw,01E8841,0.46,X3,,
1,"Micro-Fit terminal, 26-30AWG, tin plating",Molex,43030-0010,NW,6H9415,0.18,X3-CONTACT,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,